Κωδικός,Περιγραφή,Μονάδα,Χρέωση,Καταμέτρηση
F1300099,ΣΙΡΟΠΙ ΠΑΓΩΤΟΥ ΚΑΡΑΜΕΛΑ HAITOGLOU (1.2L),Bottles,6.000 ,
F1300098,ΣΙΡΟΠΙ ΠΑΓΩΤΟΥ ΣΟΚΟΛΑΤΑ HAITOGLOU (1.2L),Bottles,6.000 ,
F1300100,ΣΙΡΟΠΙ ΠΑΓΩΤΟΥ ΦΡΑΟΥΛΑ HAITOGLOU (1.2L),Bottles,2.000 ,
F11700861,ΣΟΥΚΡΟ ΕΜΟΥΛ TOUFOOD (500G),Container,0.500 ,
F13001745,ΣΥΚΟ ΛΥΟΦΙΛΟΠΟΙΗΜΕΝΟ BRIX (500G),Packet,1.000 ,
F1301189,ΧΡΩΜΑ ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ ΣΚΟΝΗ ΧΡΥΣΟ MALLARD FERRIERE (30G),Piece,1.000 ,
F1310300,HARIBO HAPPY COLA (100G),Packet,6.000 ,
F1310746,ΜΑΛΛΙ ΤΗΣ ΓΡΙΑΣ CANDY FLOS ΡΟΖ CAMELOT (20G),Piece,87.000 ,
F1310220,ΜΑΣΜΕΛΟΣ ΜΙΧ CAMELOT (1Χ8KG),Kilogram,3.000 ,
F13101514,ΜΠΙΣΚΟΤΟ MINI OREO MONDELEZ (9*400G),Packet,9.000 ,
F1310687,ΠΟΥΡΑΚΙΑ ΠΡΑΛΙΝΑ CAPRICE (400G),CAN,12.000 ,
F14000987,ΠΑΞΙΜΑΔΙΑ ΚΥΘΗΡΩΝ ΤΣΑΤΣΑΚΗΣ (480G),Packet,12.000 ,
F15000166,ΑΚΤΙΝΙΔΙΑ ΦΡΕΣΚΑ GOLD,Kilogram,1.000 ,
F1500004,ΑΝΑΝΑΣ ΦΡΕΣΚΟΣ - 80 ΕΩΣ 90% ΧΡΥΣΑΦΙ ΑΠΟΧΡΩΣΕΙΣ ( COLOR 4-5 ),Kilogram,0.500 ,
F1500083,ΑΝΑΝΑΣ ΦΡΕΣΚΟΣ EXTRA - 90 ΕΩΣ 100% ΧΡΥΣΑΦΙ ΑΠΟΧΡΩΣΕΙΣ ( COLOR 5-6 ),Kilogram,1.000 ,
F1500015,ΓΚΡΕΙΠΦΡΟΥΤ ΦΡΕΣΚΟ ΚΟΚΚΙΝΟ,Kilogram,13.950 ,
F1500018,ΚΑΡΠΟΥΖΙΑ ΦΡΕΣΚΑ,Kilogram,11.400 ,
F15000218,ΚΑΡΥΔΑ ΦΡΕΣΚΙΑ AIR (0.8-0.9KG),Piece,30.000 ,
F1500109,ΚΟΥΜ ΚΟΥΑΤ ΦΡΕΣΚΑ,Kilogram,2.500 ,
F1500023,ΛΕΜΟΝΙΑ ΦΡΕΣΚΑ ΔΙΑΜΕΤΡΟΣ 50-70MM (130-140G),Kilogram,6.100 ,
F1500027,ΜΗΛΑ ΦΡΕΣΚΑ SMITH (B) ΠΡΑΣΙΝΑ ΔΙΣΕΙΡΑ (70-80MM*170-190G),Kilogram,7.400 ,
F1500025,ΜΗΛΑ ΦΡΕΣΚΑ SMITH EXTRA ΠΡΑΣΙΝΑ ΜΟΝΟΣΕΙΡΑ (80-90MM*220-240G),Kilogram,3.000 ,
F15000209,ΜΠΑΝΑΝΕΣ ΦΡΕΣΚΕΣ KITΡΙΝΕΣ ΜΕ ΠΡΑΣΙΝΕΣ ΑΚΡΕΣ NO NAME (COLOR 3),Kilogram,5.000 ,
F1500035,ΜΠΑΝΑΝΕΣ ΦΡΕΣΚΕΣ ΚΙΤΡΙΝΕΣ ΜΕ ΠΡΑΣΙΝΕΣ ΑΚΡΕΣ CHIQUITA (COLOR 3),Kilogram,2.300 ,
F1500043,ΠΟΡΤΟΚΑΛΙΑ ΧΥΜΟΥ ΦΡΕΣΚΑ ΜΗΧΑΝΗΣ ΔΙΑΜΕΤΡΟΣ 50-70MM (120-140G),Kilogram,47.000 ,
F1500044,ΡΟΔΑΚΙΝΑ ΦΡΕΣΚΑ,Kilogram,0.800 ,
F1500157,ΡΟΔΑΚΙΝΑ ΦΡΕΣΚΑ EXTRA,Kilogram,2.000 ,
F1510007,ΑΓΓΟΥΡΙΑ ΦΡΕΣΚΑ (Α) ΙΣΙΑ 280-350MM (280-360G),Piece,13.000 ,
F1510017,ΔΥΟΣΜΟΣ ΦΡΕΣΚΟΣ (100G),Packet,3.000 ,
F15100498,ΚΑΡΟΤΑ ΦΡΕΣΚΑ (Β) ΜΕΓΑΛΑ-ΧΟΝΤΡΑ,Kilogram,3.600 ,
F1510135,ΛΑΪΜ ΦΡΕΣΚΟ (ΔΙΑΜΕΤΡΟΣ 50-60MM*100-130G),Kilogram,21.800 ,
F1510074,ΣΕΛΕΡΙ ΦΡΕΣΚΟ,Kilogram,3.500 ,
F1510082,ΤΖΙΝΤΖΕΡ ΦΡΕΣΚΟ,Kilogram,2.000 ,
F16000130,ΒΑΤΟΜΟΥΡΟ ΚΟΚΚΙΝΟ ΚΤΨ ARDO,Kilogram,1.500 ,
F16000149,ΜΥΡΤΙΛΑ BLUEBERRIES ΚΤΨ ARDO,Kilogram,10.000 ,
F16000066,ΠΟΥΛΠΑ-ΠΟΥΡΕΣ ΚΤΨ ΛΕΥΚΟ ΡΟΔΑΚΙΝΟ 90% ANDROS (1KG),Container,2.000 ,
F16000060,ΠΟΥΛΠΑ-ΠΟΥΡΕΣ ΚΤΨ ΜΑΝΓΚΟ 90% ANDROS (1KG),Container,3.000 ,
F16000058,ΠΟΥΛΠΑ-ΠΟΥΡΕΣ ΚΤΨ ΦΡΑΟΥΛΑ 90% ANDROS (1KG),Container,3.000 ,
F16000061,ΠΟΥΛΠΑ-ΠΟΥΡΕΣ ΚΤΨ ΦΡΟΥΤΑ ΤΟΥ ΠΑΘΟΥΣ 90% ANDROS (1KG),Container,3.000 ,
F16000121,ΦΡΑΟΥΛΕΣ ΚΤΨ MUBARAK,Kilogram,8.800 ,
F1640299,ΠΑΓΩΤΟ BELGIAN CHOCOLATE KAYAK (3KG),Kilogram,6.000 ,
F1640493,ΠΑΓΩΤΟ SALTY CARAMEL KAYAK (3KG),Container,1.000 ,
F1640519,ΠΑΓΩΤΟ SORBET MANGO KAYAK (107ML),Container,20.000 ,
F1640239,ΠΑΓΩΤΟ SORBET ΚΑΡΠΟΥΖΙ KAYAK (3KG),Kilogram,6.000 ,
F16400587,ΠΑΓΩΤΟ SORBET ΛΕΜΟΝΙ KAYAK (3KG),Kilogram,6.500 ,
F1640495,ΠΑΓΩΤΟ SORBET ΜΑΝΓΚΟ ΧΩΡΙΣ ΓΛΟΥΤΕΝΗ & ΛΑΚΤΟΖΗ KAYAK (3KG),Kilogram,3.000 ,
F1640035,ΠΑΓΩΤΟ SORBET ΦΡΑΟΥΛΑ KAYAK (107ML),CUP,20.000 ,
F1640319,ΠΑΓΩΤΟ SORBET ΦΡΑΟΥΛΑ KAYAK (3KG),Kilogram,3.600 ,
F1640203,ΠΑΓΩΤΟ ΒΑΝΙΛΙΑ CHOCOCREAM COOKIES KAYAK (3KG),Kilogram,9.000 ,
F1640307,ΠΑΓΩΤΟ ΒΑΝΙΛΙΑ KAYAK (3KG),Kilogram,3.960 ,
F1640318,ΠΑΓΩΤΟ ΓΡΑΝΙΤΑ ΡΟΔΑΚΙΝΟ KAYAK (3KG),Kilogram,3.000 ,
F16400588,ΠΑΓΩΤΟ ΚΑΡΑΜΕΛΑ PRIMA KAYAK (2.5KG),Container,1.000 ,
F16400650,ΠΑΓΩΤΟ ΚΑΡΑΜΕΛΑ ΔΕΛΤΑ (5L),Container,0.300 ,
F1640105,ΠΑΓΩΤΟ ΚΥΠΕΛΛΟ ΒΑΝΙΛΙΑ CHOCOCREAM COOKIES KAYAK (107ML),CUP,40.000 ,
F1640106,ΠΑΓΩΤΟ ΚΥΠΕΛΛΟ ΒΑΝΙΛΙΑ ΜΑΔΑΓΑΣΚΑΡΗΣ KAYAK (107ML),CUP,40.000 ,
F1640108,ΠΑΓΩΤΟ ΚΥΠΕΛΛΟ ΣΟΚΟΛΑΤΑ BELGIAN CHOCO CHIPS  KAYAK (107ML),CUP,40.000 ,
F1640331,ΠΑΓΩΤΟ ΜΠΑΝΑΝΑ KAYAK (3KG),Kilogram,3.000 ,
F16400651,ΠΑΓΩΤΟ ΜΠΑΝΑΝΑ ΔΕΛΤΑ (5L),Container,1.000 ,
F1640237,ΠΑΓΩΤΟ ΣΟΚΟΛΑΤΑ KAYAK (3KG),Kilogram,8.100 ,
F1640359,ΠΑΓΩΤΟ ΦΡΑΟΥΛΑ KAYAK (3KG),Kilogram,6.000 ,
F2000035,ΚΑΦΕΣ ESPRESSO ILLY ΑΛΕΣΜΕΝΟΣ DECAFFEINE (250G),Container,10.000 ,
