Κωδικός,Περιγραφή,Μονάδα,Χρέωση,Καταμέτρηση
F2411050,FRANCE CHATEAU D' YQUEM SAUTERNES 1er CRU CLASSE 2007 ΛΕΥΚΟ (750ML),Bottles,0.900 ,
F2410571,FRANCE POUILLY FUME TRADITION DOMAINE S.DAGUENEAU & FILLS ΛΕΥΚΟ (750ML),Bottles,3.000 ,
F2410056,ΑΛΦΑ SAUVIGNON BLANC ΛΕΥΚΟ (750ML),Bottles,1.000 ,
F2410055,ΑΛΦΑ ΜΑΛΑΓΟΥΖΙΑ ΛΕΥΚΟ (750ML),Bottles,6.000 ,
F2410009,ΓΕΡΟΒΑΣΙΛΕΙΟΥ ΜΑΛΑΓΟΥΖΙΑ ΛΕΥΚΟ (750ML),Bottles,1.200 ,
F24102305,ΕΛΛΑΔΑ ΜΑΤΑΜΗ ΜΑΛΑΓΟΥΖΙΑ ΛΕΥΚΟ (750ML),Bottles,0.200 ,
F2410803,ΣΚΟΥΡΑ DUM VIMUM SPERUM CHARDONNAY ΛΕΥΚΟ (750ML),Bottles,0.600 ,
F2420122,FRANCE ESCLAN'S WHISPERING ANGEL COTES DE PROVENCE ΡΟΖΕ (750ML),Bottles,7.200 ,
F2420117,FRANCE OTT CHATEAU ROMASAN BANDOL ΡΟΖΕ (750ML),Bottles,7.000 ,
F2420073,ΑΛΦΑ ΞΙΝΟΜΑΥΡΟ ΡΟΖΕ (750ML),Bottles,1.000 ,
F2420286,ΓΕΡΟΒΑΣΙΛΕΙΟΥ ΞΙΝΟΜΑΥΡΟ ΡΟΖΕ (750ML),Bottles,1.800 ,
F24300493,ΕΛΛΑΔΑ SANTO WINES SPARKLING BRUT ΑΣΥΡΤΙΚΟ ΛΕΥΚΟ (750ML),Bottles,0.400 ,
F2430061,CHAMPAGNE BRUT ROSE TAITTINGER FRANCE (750ML),Bottles,2.200 ,
F2430060,CHAMPAGNE BRUT TAITTINGER FRANCE (750ML),Bottles,1.600 ,
F24101862,FRANCE CHARLES HEIDSIECK RESERVE BRUT CHAMPAGNE ΛΕΥΚΟ (750ML),Bottles,0.200 ,
F2500001,AMARETTO DISARONNO (700ML),Bottles,1.900 ,
F2500180,ANCHO REYES LIQUEUR (700ML),Bottles,0.200 ,
F2500003,BAILEYS (700ML),Bottles,0.400 ,
F2500010,BV LAND TRIPLE SEC (700ML),Bottles,0.300 ,
F2500067,CHARTREUSE YELLOW LIQUER (700ML),Bottles,0.400 ,
F2500033,DRAMBUIE (700ML),Bottles,0.600 ,
F2500013,FRANGELICO ΛΙΚΕΡ (700ML),Bottles,1.000 ,
F25000223,GIFFARD LIQUER MELON (700ML),Bottles,0.900 ,
F2500212,GIFFARD LIQUER PEACH (700ML),Bottles,0.300 ,
F2500146,GIFFARD LIQUER VANILLA GIFFARD (700ML),Bottles,1.000 ,
F2500037,HEERING 25% (700ML),Bottles,0.900 ,
F2500015,KAHLUA (700ML),Bottles,2.000 ,
F2500089,LIMONCELLO DELLA TRADIZIONE (700ML),Bottles,1.000 ,
F25000370,LIQUEUR BRANDY BOLS 43% (750ML),Bottles,1.000 ,
F25000373,LIQUEUR CRÈME CACAO WHITE BOLS 24% (700ML),Bottles,1.000 ,
F25000374,LIQUEUR CREME DE CASSIS BOLS 17% (700ML),Bottles,1.000 ,
F25000377,LIQUEUR ELDERFLOWER BOLS 17% (700ML),Bottles,2.000 ,
F25000384,LIQUEUR SOUR APPLE BOLS 17% (700ML),Bottles,1.000 ,
F25000387,LIQUEUR TRIPLE SEC BOLS 38% (700ML),Bottles,1.000 ,
F2500184,LUXARDO ABSINTHE (700ML),Bottles,1.000 ,
F2500093,MALIBU (1L),Bottles,1.000 ,
F2500024,PASSOA LIQUER 20% (700ML),Bottles,1.000 ,
F2510012,PIMMS 25% (700ML),Bottles,1.000 ,
F2500032,TIA MARIA (700ML),Bottles,1.000 ,
F2500114,TIO PEPE PALOMINO FINO SHERRY (700ML),Bottles,0.200 ,
F25000240,ΛΙΚΕΡ GIFFARD CREME DE CACAO WHITE (700ML),Bottles,0.700 ,
F2500026,ΛΙΚΕΡ SOURZ APPLE (700ML),Bottles,0.700 ,
F2510003,AMARETTO AVERNA (700ML),Bottles,1.000 ,
F2510173,AMARO MONTENEGRO (700ML),Bottles,0.800 ,
F25100540,"APERITIF FONSECA VINTAGE PORT 2000 20,5 (750ML)",Bottles,0.200 ,
F25100539,"APERITIF NIEPOORT 30YO TAWNY 20,5% (750ML)",Bottles,0.500 ,
F25100581,APERITIF SAMBUCA VACCARI 38% (700ML),Bottles,1.000 ,
F2500038,APEROL APERITIVO 11% (1L),Bottles,3.700 ,
F25100519,BODEGAS HIDAIGO MANZANILLA LA GITANA SHERRY (700ML),Bottles,1.000 ,
F2510004,CAMPARI (700ML),Bottles,2.900 ,
F2510064,CAPRANO ANTICA FORMULA VERMOUTH (1L),Bottles,1.600 ,
F2510290,DRY AMONTILLADO LOS ARCOS EMILIO LUSTAU (700ML),Bottles,1.000 ,
F2510006,FERNET BRANCA (700ML),Bottles,0.900 ,
F2510180,FERNET BRANCA MENTA (700ML),Bottles,1.000 ,
F2510258,FONSECA 10 Y.O. TAWNY (750ML),Bottles,0.500 ,
F2510259,FONSECA 20 Y.O. TAWNY (750ML),Bottles,1.200 ,
F2510186,GRAPPA LIGNEUM PROSECCO (700ML),Bottles,0.600 ,
F2510188,GRAPPA MIELEDITIGLIO INVECC. (700ML),Bottles,0.200 ,
F2510193,GRAPPA NONINO MOSCHATO (700ML),Bottles,0.900 ,
F2510359,JACOPO GRAPPA POLI BARILI DI SASSICAIA 40% (500ML),Bottles,0.600 ,
F2510303,JACOPO POLI AMOROSA DI SETTEMBRE VESPAIOLO (500ML),Bottles,0.200 ,
F2510008,JAGERMEISTER (700ML),Bottles,0.900 ,
F2510317,LILLET BLANC APERITIF (750ML),Bottles,1.000 ,
F2510009,MARTINI BIANCO (BLANCO) (1L),Bottles,0.400 ,
F2510010,MARTINI EXTRA DRY (EXTRA SECO) (1L),Bottles,1.000 ,
F2510011,MARTINI ROSSO (ROJO) (1L),Bottles,1.000 ,
F25100491,NOILLY PRAT VERMOUTH (750ML),Bottles,0.600 ,
F2510305,OTTOS ATHENS VERMOUTH (700ML),Bottles,1.000 ,
F2510037,PERNOD 40% (700ML),Bottles,0.600 ,
F2510206,RICARD (700ML),Bottles,1.000 ,
F25100542,SAKE ΙΑΠΩΝΙΚΟ DASSAI 23 JUNMAI DAIGINJO 16% (720ML),Bottles,1.000 ,
F2510273,SHERRY LUSTAU PEDRO XIMENEZ SAN EMILIO (750ML),Bottles,0.600 ,
F25100454,VERMOUTH CARLO ALBERTO-RISERVA BIANCO (700ML),Bottles,1.000 ,
F25100489,VERMOUTH COCCHI STORICO DI TORINO (700ML),Bottles,1.000 ,
F2510220,ΑΠΟΣΤΑΓΜΑ BERTA GUILIA CHARD. BARRIQUE 40% (700ML),Bottles,1.000 ,
F2510222,ΑΠΟΣΤΑΓΜΑ BERTA VALDAVI MOSCATO 40% (700ML),Bottles,0.600 ,
F2510226,ΟΥΖΟ 12 (700ML),Bottles,0.900 ,
F2510337,ΤΣΙΠΟΥΡΟ ΑΡΧΟΝΤΙΚΟ ΧΩΡΙΣ ΓΛΥΚΑΝΙΣΟ (700ML),Bottles,0.800 ,
F2510279,ΤΣΙΠΟΥΡΟ ΤΣΙΛΙΛΗ 5Y.O DARK CAVE (750ML),Bottles,0.600 ,
F26000233,ΜΠΥΡΑ 56 ISLES AEGEAN WIT (330ML),Bottles,24.000 ,
F26000249,ΜΠΥΡΑ ALE BEER GRAMMS (24*330ML),Bottles,48.000 ,
F26000236,ΜΠΥΡΑ AMMOUSA ENGLISH IPA (330ML),Bottles,24.000 ,
F26000218,ΜΠΥΡΑ DATHENES LAGER (330ML),Bottles,24.000 ,
F2600111,ΜΠΥΡΑ HEINEKEN 0% ΦΙΑΛΗ (330ML),Bottles,48.000 ,
F2600119,ΜΠΥΡΑ HEINEKEN ΒΑΡΕΛΙ PET BREWLOCK (20L),Barrel,7.500 ,
F2610006,ΜΠΥΡΑ HEINEKEN ΦΙΑΛΗ (24*330ML),Bottles,48.000 ,
F2610099,ΜΠΥΡΑ ISLES 56 PILS (330ML),Bottles,20.000 ,
F26000235,ΜΠΥΡΑ SALONIKIA WEISS (500ML),Bottles,12.000 ,
F2600054,ΜΠΥΡΑ SEPTEM FRIDAY'S PALE ALE ΦΙΑΛΗ (330ML),Bottles,20.000 ,
F26000234,ΜΠΥΡΑ SKNIPA LAGER (330ML),Bottles,47.000 ,
F2610015,ΜΠΥΡΑ SOL ΦΙΑΛΗ (24*330ML),Bottles,94.000 ,
F2610025,ΜΠΥΡΑ STELLA ARTOIS ΦΙΑΛΗ (330ML),Bottles,36.000 ,
F26000153,ΜΠΥΡΑ VALTINGER HOP ON! IPA LOCAL CRAFT BEER (330ML),Bottles,23.000 ,
F2600051,ΜΠΥΡΑ YELLOW DONKEY ΦΙΑΛΗ (24*330ML),Bottles,24.000 ,
F2600121,ΜΠΥΡΑ ΝΗΣΟΣ ALL DAY LAGER ΒΙΟΛΟΓΙΚΗ GLUTEN FREE (330ML),Bottles,47.000 ,
F2700001,ANGOSTURA AROMATIC BITTERS (200ML),Bottles,1.400 ,
F2700147,FEE BROTHERS AZTEC CHOCOLATE BITTERS (150ML),Bottles,1.000 ,
F2700153,FEE BROTHERS CARDAMOM BITTERS (150ML),Bottles,0.800 ,
F2700081,FEE BROTHERS CHERRY BITTERS (150ML),Bottles,0.200 ,
F27000228,FEE BROTHERS FOAM AGENT BITTER (150ML),Bottles,1.000 ,
F2700044,FEE BROTHERS GRAPEFRUIT BITTERS (50ML),Bottles,0.100 ,
F2700090,ΣΙΡΟΠΙ AGAVE MONIN (700ML),Bottles,0.400 ,
F27000547,ΣΙΡΟΠΙ CHOCOLATE ROUTIN (1L),Bottles,1.000 ,
F2700128,ΣΙΡΟΠΙ CUCUMBER GIFFARD (1L),Bottles,1.000 ,
F27000551,ΣΙΡΟΠΙ CUCUMBER ROUTIN (1L),Bottles,1.000 ,
F2700111,ΣΙΡΟΠΙ ELDERFLOWER GIFFARD (1L),Bottles,1.000 ,
F27000552,ΣΙΡΟΠΙ ELDERFLOWER ROUTIN (1L),Bottles,2.000 ,
F27000553,ΣΙΡΟΠΙ FALERNUM ROUTIN (1L),Bottles,1.000 ,
F27000491,ΣΙΡΟΠΙ GREEN APPLE MONIN (700ML),Bottles,1.200 ,
F27000554,ΣΙΡΟΠΙ GREEN APPLE ROUTIN (1L),Bottles,1.000 ,
F2700039,ΣΙΡΟΠΙ GREEN MINT MONIN (700ML),Bottles,0.400 ,
F2700178,ΣΙΡΟΠΙ LYCHEE MONIN (700ML),Bottles,0.500 ,
F27000557,ΣΙΡΟΠΙ LYCHEE ROUTIN (1L),Bottles,1.000 ,
F2700120,ΣΙΡΟΠΙ ORGEAT GIFFARD (1L),Bottles,0.100 ,
F27000559,ΣΙΡΟΠΙ ORGEAT ROUTIN (1L),Bottles,1.000 ,
F27000561,ΣΙΡΟΠΙ PEACH ROUTIN (1L),Bottles,1.000 ,
F27000336,ΣΙΡΟΠΙ ROUTIN POP CORN ILLY (1L),Bottles,2.000 ,
F27000277,ΣΙΡΟΠΙ ROUTIN ΒΑΝΙΛΙΑ ILLY (1L),Bottles,1.000 ,
F27000278,ΣΙΡΟΠΙ ROUTIN ΚΑΡΑΜΕΛΑ ILLY (1L),Bottles,1.000 ,
F2700015,ΣΙΡΟΠΙ SPICY MANGO MONIN (700ML),Bottles,0.800 ,
F27000566,ΣΙΡΟΠΙ SPICY MANGO ROUTIN (1L),Bottles,1.000 ,
F27000567,ΣΙΡΟΠΙ STRAWBERRY ROUTIN (1L),Bottles,4.000 ,
F27000258,ΣΙΡΟΠΙ VANILLA GIFFARD (1L),Bottles,1.100 ,
F2700069,ΣΙΡΟΠΙ WATERMELON MONIN (700ML),Bottles,0.200 ,
F27000568,ΣΙΡΟΠΙ WATERMELON ROUTIN (1L),Bottles,1.000 ,
F2800020,BULLEIT BOURBON (700ML),Bottles,2.300 ,
F2800007,JAMESON 40% (700ML),Bottles,1.000 ,
F2800014,JOHNNIE WALKER BLACK LABEL 40% (700ML),Bottles,1.500 ,
F2800008,JOHNNIE WALKER RED LABEL 40% (700ML),Bottles,1.860 ,
F2800012,SOUTHERN COMFORT 40% (700ML),Bottles,0.900 ,
F2800021,WHISKEY BULLEIT RYE (700ML),Bottles,1.000 ,
F2810027,BUSHMILLS 16 Y.O. 40% (700ML),Bottles,0.700 ,
F2810033,CAOL ILA 12 Y.O. 43% (700ML),Bottles,0.600 ,
F28100123,CARDHU 15Υ.O 40% (700ML),Bottles,1.000 ,
F2810011,CARDHU 40% (700ML),Bottles,1.200 ,
F2810035,CHIVAS 12Y 40% (700ML),Bottles,2.000 ,
F2810093,CHIVAS 18 ΕΤΩΝ (700ML),Bottles,1.000 ,
F2810036,CHIVAS ROYAL SALUTE (700ML),Bottles,2.100 ,
F2810039,CLYNELISH 14 Y.O. (700ML),Bottles,1.400 ,
F2810043,DALMORE 12 Y.O. (700ML),Bottles,1.000 ,
F2810044,DALMORE CIGAR (700ML),Bottles,0.800 ,
F2810045,DALWHINNIE 40% (700ML),Bottles,0.500 ,
F2810047,DEWARS RESERVE 43% (700ML),Bottles,0.200 ,
F2810009,GLENFIDDICH 12 Y.O. 40% (700ML),Bottles,0.600 ,
F2810055,GLENFIDDICH 15Y 40% (700ML),Bottles,1.000 ,
F2810056,GLENFIDDICH 18 Y.O. 40% (700ML),Bottles,1.000 ,
F2810092,GLENGOYNE 10 Y.O. (700ML),Bottles,1.800 ,
F2810059,GLENKINCHIE 43% (700ML),Bottles,1.000 ,
F2810062,GLENLIVET 12 Y.O. (700ML),Bottles,0.200 ,
F2810057,GLENLIVET 15 Y.O. (700ML),Bottles,0.500 ,
F2810058,GLENLIVET 18 Y.O. (700ML),Bottles,0.600 ,
F2810060,GLENMORANGIE 10 Y.O. (700ML),Bottles,0.600 ,
F28100143,GLENMORANGIE SIGΝET (700ML),Bottles,0.500 ,
F2810063,GRANGAMOORE 40% (700ML),Bottles,0.500 ,
F2810064,HIBIKI 40% (700ML),Bottles,1.300 ,
F2810067,JACK DANIELS SINGLE BARREL (700ML),Bottles,0.900 ,
F2810068,JAMESON 12 Y.O (700ML),Bottles,0.800 ,
F2810010,JOHNNIE WALKER BLUE LABEL 40% (700ML),Bottles,1.300 ,
F28100127,LAGAVULIN 16 Y.O. (700ML),Bottles,0.800 ,
F28100135,LAPHROAIG 10 Y.O. 40% (700ML),Bottles,0.700 ,
F2810094,NIKKA FROM THE BARREL WHISKEY (500ML),Bottles,1.800 ,
F2810081,OBAN 40% (700ML),Bottles,0.800 ,
F2810082,TALISKER 40% (700ML),Bottles,1.400 ,
F28100183,WHISKEY ARRAN AMARONE CASK 50% (700ML),Bottles,1.000 ,
F2810089,WHISKEY BALLANTINES 12 (700ML),Bottles,0.800 ,
F28100184,WHISKEY BUSHMILLS PORT CASK 40% (700ML),Bottles,0.300 ,
F28100186,WHISKEY JAMESON 18YO 40% (700ML),Bottles,0.880 ,
F28100181,WHISKEY MACALLAN DOUBLE CASK 15YO 43% (700ML),Bottles,1.000 ,
F28100182,WHISKEY MACALLAN SHERRY OAK CASK 12YO 40% (700ML),Bottles,0.800 ,
F28100185,WHISKEY TULLAMORE SINGLE MALT 14 Y.O. 41.3% (700ML),Bottles,1.000 ,
F28100188,"WHISKEY WOODFORD RESERVE DOUBLE OAKED 43,2% (700ML)",Bottles,1.800 ,
F2820001,BEEFEATER 40% (700ML),Bottles,2.800 ,
F2820011,BOMBAY GIN 40% (700ML),Bottles,1.000 ,
F2820016,BOTANIST GIN (700ML),Bottles,2.000 ,
F2820019,CITADELLE GIN (700ML),Bottles,1.000 ,
F2820081,CITADELLE GIN SOLERA RESERVE (700ML),Bottles,1.000 ,
F2820070,ELEPHANT GIN 45% (700ML),Bottles,0.900 ,
F28200161,GIN AUX AGRUMES LA MONACO (700ML),Bottles,1.000 ,
F2820022,GIN BLOOM PREMIUM (700ML),Bottles,1.000 ,
F2820080,GIN COPPERHEAD 40% (500ML),Bottles,1.000 ,
F2820039,GIN DRY (SECO) MONKEY 47 (500ML),Bottles,2.020 ,
F2820045,GIN EDINBURGH (700ML),Bottles,0.900 ,
F28200103,GIN EDINBURGH RHUBARB & GINGER (700ML),Bottles,0.880 ,
F2820046,GIN GRACE (700ML),Bottles,0.700 ,
F28200179,"GIN GRACE ICON 43,5% (700ML)",Bottles,1.000 ,
F2820047,GIN HAYMAN OLD TOM 40% (700ML),Bottles,1.000 ,
F28200011,GIN MALFY ORIGINALE 41% (700ML),Bottles,1.000 ,
F2820031,GIN MARE (700ML),Bottles,0.600 ,
F2820032,GIN MARTIN MILLER'S DRY 40% (700ML),Bottles,1.000 ,
F2820086,GIN MATAROA (700ML),Bottles,1.000 ,
F28200173,GIN MIRABEAU ROSE 43% (700ML),Bottles,1.000 ,
F2820056,GIN NIKKA COFFEY (700ML),Bottles,1.700 ,
F28200102,GIN PORTOFINO 43% (500ML),Bottles,0.700 ,
F2820041,GIN TANQUERAY ΤΕΝ 47% (700ML),Bottles,2.060 ,
F28200143,GIN VOTANIKON 40% (700ML),Bottles,1.000 ,
F2820064,GIN WILLIAMS EXTRA DRY (700ML),Bottles,0.600 ,
F2820010,HENDRICK'S GIN 41% (700ML),Bottles,1.880 ,
F28200125,ROKU GIN JAPANESE 43% (700ML),Bottles,1.000 ,
F2820005,TANQUERAY GIN 43% (700ML),Bottles,1.000 ,
F28300012,VODKA ABSOLUT 40% (1L),Bottles,4.900 ,
F2830016,VODKA ABSOLUT CITRON 40% (700ML),Bottles,1.000 ,
F2830100,VODKA ABSOLUT VANILIA 40% (1L),Bottles,0.900 ,
F2830034,VODKA BELLUGA 40% (700ML),Bottles,1.500 ,
F2830033,VODKA BELLUGA GOLD LINE (700ML),Bottles,0.900 ,
F2830037,VODKA BELVEDERE 40% (700ML),Bottles,1.000 ,
F28300142,VODKA BOLS VANILLA 38.5% (700ML),Bottles,1.000 ,
F2830043,VODKA CIROC 40% (700ML),Bottles,1.400 ,
F28300110,VODKA CRYSTAL HEAD ONYX (700ML),Bottles,1.000 ,
F2830017,VODKA GREY GOOSE (700ML),Bottles,5.180 ,
F2830055,VODKA GREY GOOSE VX (1L),Bottles,0.400 ,
F28300108,VODKA HAKU SUNTORY 40% (1L),Bottles,1.000 ,
F28300124,VODKA KASTRA ELION (700ML),Bottles,0.800 ,
F2830078,VODKA SNOW LEOPARD (700ML),Bottles,1.000 ,
F2830068,VODKA STOLICHNAYA ELITE (700ML),Bottles,0.200 ,
F2830096,VODKA TITOS HANDMADE (700ML),Bottles,1.000 ,
F2840067,RUM BOTRAN RESERVA 15 Y.O (700ML),Bottles,1.000 ,
F28400004,RUM BUMBU 40% (700ML),Bottles,2.000 ,
F2840003,RUM CAPTAIN MORGAN 40% (700ML),Bottles,1.000 ,
F2840065,RUM DICTADOR 20 Y.O (700ML),Bottles,1.000 ,
F2840087,RUM DIPLOMATICO PLANAS 47% (700ML),Bottles,0.300 ,
F2840050,RUM DIPLOMATICO RESERVA EXCLUSIVA 12Y (700ML),Bottles,1.500 ,
F28400107,RUM DON PAPA BAROKO 40% (700ML),Bottles,1.000 ,
F28400106,RUM FLOR DE CANA SENTENARIO 12 Y.O (700ML),Bottles,1.000 ,
F2840014,RUM HAVANA CLUB 3 Y.O. 40% (1L),Bottles,0.880 ,
F28400003,RUM HAVANA CLUB 3 Y.O. 40% (700ML),Bottles,1.000 ,
F2840034,RUM HAVANA CLUB 5 Y.O. ANEJO RESERVA 40% (700ML),Bottles,1.880 ,
F2840035,RUM HAVANA CLUB 7 Y.O. 40% (700ML),Bottles,0.600 ,
F2840038,RUM HAVANA SELECCION DE MAESTROS 40% (700ML),Bottles,1.500 ,
F2840051,RUM KRAKEN BLACK SPICED (700ML),Bottles,1.000 ,
F2840039,RUM PAMPERO ANIVERSARIO 40% (700ML),Bottles,1.400 ,
F2840085,RUM PLANTATION X.O 20 Y.O ANNIVERSARY (700ML),Bottles,1.000 ,
F2840042,RUM PYRAT X.O (700ML),Bottles,0.800 ,
F2840057,RUM ZACAPA 23 40% (700ML),Bottles,0.300 ,
F2840059,RUM ZACAPA X.O. 40% (700ML),Bottles,1.000 ,
F2850012,DON JULIO ANEJO 38% (700ML),Bottles,0.800 ,
F2850013,DON JULIO BLANCO 38% (700ML),Bottles,0.400 ,
F2850014,DON JULIO REPOS 38% (700ML),Bottles,1.500 ,
F2850024,JOSE CUERVO RESERVA DE LA FAMILIA 38% (700ML),Bottles,0.700 ,
F28500056,MEZCAL VERDE MOMENTO 42% (700ML),Bottles,0.800 ,
F28500110,RUM FLOR DE CANA 18YO 40% (700ML),Bottles,0.700 ,
F2850031,TEKILA PATRON ANEJO (700ML),Bottles,0.700 ,
F28500079,TEQUILA CAZADORES BLANCO (700ML),Bottles,3.700 ,
F28500080,TEQUILA CAZADORES REPOSADO (700ML),Bottles,2.500 ,
F2850043,TEQUILA CLASE AZUL REPOSADO (700ML),Bottles,1.000 ,
F28500111,TEQUILA KOMOS REPOSADO ROSA 40% (700ML),Bottles,1.000 ,
F28500071,TEQUILA LOST EXPLORER MEZCAL ESPADIN (700ML),Bottles,1.800 ,
F2850032,TEQUILA PATRON REPOSADO (700ML),Bottles,0.400 ,
F28500052,TEQUILA PATRON SILVER (700ML),Bottles,1.100 ,
F28500061,ΤΕΚΙΛΑ CLASE AZUL PLATA (700ML),Bottles,1.000 ,
F28600027,FLUERE CANE 0% (700ML),Bottles,1.000 ,
F28600028,FLUERE RASPBERRY 0% (700ML),Bottles,1.000 ,
F28600030,FLUERE SMOKED AGAVE 0% (275ML),Bottles,1.000 ,
F2700202,SEEDLIP GROVE 72 (700ML),Bottles,0.300 ,
F2870056,ARMAGNAC LAUBADE 1981 (700ML),Bottles,0.300 ,
F28700087,BRANDY CHATEAU DE BORDENEUVE ARMAGNAC 1994 46.1% (700ML),Bottles,1.000 ,
F28700066,CALVADOS VIEUX MASSENEZ (700ML),Bottles,1.000 ,
F2870031,COGNAC PIERRE FERRAND AMBE SELECTION 30Y (700ML),Bottles,0.500 ,
F2870033,COURVOISIER VS (700ML),Bottles,0.700 ,
F2870004,HENNESSY VSOP 40% (700ML),Bottles,1.200 ,
F2870012,HENNESSY X.O. 40% (700ML),Bottles,1.300 ,
F2870007,METAXA 7* (700ML),Bottles,0.400 ,
F2870047,METAXA RESERVE 40% (700ML),Bottles,2.300 ,
F2870049,METAXA V.S.O.P. 12 Y.O. (700ML),Bottles,1.000 ,
F2870053,REMI MARTEN X.O. (700ML),Bottles,1.000 ,
F2870002,REMI MARTIN VSOP 40% (700ML),Bottles,1.500 ,
F3000008,ΑΝΘΡΑΚΙΚΟ ΠΕΡΙΕΧΟΜΕΝΟ (6KG),Container,4.000 ,
F3000157,ΜΑΝΤΑΛΑΚΙ ΞΥΛΙΝΟ ΔΙΑΚΟΣΜΗΤΙΚΟ 100ΤΕΜ,Packet,1.000 ,
F30000751,ΟΔΟΝΤΟΓΛΥΦΙΔΑ COCKTAIL BABOO ΜΕΓΑΛΗ ΜΕ ΦΙΟΓΚΑΚΙ 12CM*200ΤΕΜ,Packet,15.000 ,
F3000673,ΟΔΟΝΤΟΓΛΥΦΙΔΑ COCKTAIL BABOO ΜΙΚΡΗ ΚΑΡΔΙΑ 9CM*100ΤΕΜ,Packet,0.700 ,
F3000029,ΣΚΟΝΗ ΚΑΘΑΡΙΣΜΟΥ LACIP CM (450G),Container,1.200 ,
F3000312,ΦΙΛΤΡΑ ΚΑΦΕ MR GRAND 40ΤΕΜ,Packet,3.100 ,
F30001046,ΧΡΥΣΟ ΣΕ ΚΟΜΑΤΑΚΙΑ MALLARD FERRIERE (200G),Jar,1.000 ,
F30200497,ΚΑΛΑΜΑΚΙΑ ΜΑΥΡΑ ΧΑΡΤΙΝΑ ΝΤΥΜΕΝΑ 1\1 FREDDO 18CM 500ΤΕΜ,Packet,4.500 ,
F30200499,ΚΑΛΑΜΑΚΙΑ ΜΑΥΡΑ ΧΑΡΤΙΝΑ ΝΤΥΜΕΝΑ 1\1 ΠΟΤΟΥ 21CM 500ΤΕΜ,Packet,6.000 ,
F30200639,ΚΑΛΑΜΑΚΙΑ ΧΑΡΤΙΝΑ ΓΙΑ BUBBLE TEA 200TEM,Packet,17.000 ,
F30200772,ΚΑΛΑΜΑΚΙΑ ΧΑΡΤΙΝΑ ΜΑΥΡΑ 21CM ΝΤΥΜΕΝΑ 1/1 ΓΡΑΝΙΤΑΣ (500ΤΕΜ),Packet,5.000 ,
F30200756,ΚΑΛΑΜΑΚΙΑ ΧΑΡΤΙΝΑ ΡΙΓΕ ΚΟΚΚΙΝΑ-ΑΣΠΡΑ 20CM (20ΤΕΜ),Packet,1.000 ,
F30200438,ΧΑΡΤΟΠΕΤΣΕΤΑ 24*24CM ΛΕΥΚΗ 2ΦΥΛΛΗ 500ΤΕΜ,Packet,3.000 ,
F30200652,ΧΑΡΤΟΠΕΤΣΕΤΑ 40*40CM DUNI BIO DUNISOFT AIRLAID QUALITY GREIGE  60ΤΕΜ,Packet,8.000 ,
F3020087,"ΧΕΙΡΟΠΕΤΣΕΤΑ TORK REFLEX WIPING PAPER PLUS 2ΦΥΛΛΟ 150,8M (BARS) (ΕΝΤΟΣ)",Piece,2.000 ,
F3020272,"ΧΕΙΡΟΠΕΤΣΕΤΑ ΡΟΛΟ TORK ADVANCED ΜΠΛΕ 21*24,5CM 612ΦΥΛΛΑ",Piece,2.000 ,
F3030307,ΓΑΝΤΙΑ ΝΙΤΡΙΛΙΟΥ ΜΑΥΡΑ LARGE 100ΤΕΜ,Packet,1.000 ,
F30300364,ΓΑΝΤΙΑ ΝΙΤΡΙΛΙΟΥ ΜΑΥΡΑ ΜEDIUM 100ΤΕΜ,Packet,2.000 ,
F3030101,ΜΕΜΒΡΑΝΗ 30CM 200M,Piece,2.000 ,
F30300517,ΣΑΚΟΥΛΑ ΒΙΟΔΙΑΣΠΩΜΕΝΗ ΑΠΟΡΡΙΜΜΑΤΩΝ STRONG 80*110CM ΦΥΣΙΚΟ ΧΡΩΜΑ 25MIC VARIO (ΡΟΛΟ 20ΤΕΜ),Piece,3.000 ,
F30300516,ΣΑΚΟΥΛΑ ΒΙΟΔΙΑΣΠΩΜΕΝΗ ΟΡΓΑΝΙΚΩΝ ΑΠΟΡΡΙΜΜΑΤΩΝ STRONG 70*110CM ΑΠΑΛΟ ΠΡΑΣΙΝΟ 25MIC VARIO (ΡΟΛΟ 25ΤΕΜ),Piece,3.000 ,
F3100199,VILEDA ΕΝΤΟΣ ΡΟΛΟ QUICK N DRY ΠΕΡΦΟΡΕ,Piece,2.000 ,
F3100043,VILEDA ΕΝΤΟΣ ΣΠΟΓΓΟΣ ΕΠΑΓΓ/ΤΙΚΟΣ ΠΡΑΣΙΝΗ&ΜΠΕΖ ΦΙΜΠΡΑ 9*14cm,Piece,5.000 ,
F31300145,ECOLAB ΕΝΤΟΣ ASSERT CLEAN ECOLABEL (KITCHEN) (2*5L),Container,1.000 ,
F31300226,ECOLAB ΕΝΤΟΣ TOPMATIC CLEAN ECOLABEL (KITCHEN) (4*5L),Container,1.000 ,
F31300227,ECOLAB ΕΝΤΟΣ TOPRINSE CLEAN ECOLABEL (KITCHEN) (2*5L),Container,0.500 ,
F3210010,ΠΡΟΠΑΝΙΟ (13L),Tank,2.000 ,
F3210005,ΦΙΑΛΑΚΙΑ ΥΓΡΑΕΡΙΟΥ (470ML),CAN,4.000 ,
F3220023,ΠΟΥΡΑ COHIBA CIGARILLOS,Piece,7.000 ,
F3220004,ΠΟΥΡΑ COHIBA ΝO 6 SIVLO,Piece,5.000 ,
