Κωδικός,Περιγραφή,Μονάδα,Quantity,category
F2300008,ΧΥΜΟΣ MANGO PAGO (200ML),Bottles,38,F230 JUICE
F2300110,ΧΥΜΟΣ ORANGE PAGO (200ML),Bottles,57,F230 JUICE
F2300112,ΧΥΜΟΣ PEACH PAGO (200ML),Bottles,51,F230 JUICE
F2300128,ΧΥΜΟΣ PINEAPPLE PAGO (200ML),Bottles,41,F230 JUICE
F2300010,ΧΥΜΟΣ ΑΝΑΝΑΣ AMITA 12ΤΕΜ (1L),Carton,12,F230 JUICE
F2300149,ΧΥΜΟΣ ΑΧΛΑΔΙ PAGO (200ML),Bottles,36,F230 JUICE
F2300012,ΧΥΜΟΣ ΒΥΣΣΙΝΟ AMITA 12ΤΕΜ (1L),Carton,12,F230 JUICE
F2300034,ΧΥΜΟΣ ΜΗΛΟ AMITA 12ΤΕΜ (1L),Carton,12,F230 JUICE
F23000268,ΧΥΜΟΣ ΜΗΛΟ VIVA 12ΤΕΜ (1L),Carton,25.5,F230 JUICE
F2300018,ΧΥΜΟΣ ΜΠΑΝΑΝΑ AMITA 12ΤΕΜ (1L),Carton,12,F230 JUICE
F2300025,ΧΥΜΟΣ ΡΟΔΑΚΙΝΟ AMITA 12ΤΕΜ (1L),Carton,12,F230 JUICE
F2300188,ΧΥΜΟΣ ΤΟΜΑΤΑΣ BRITVIC MIXERS ΦΙΑΛΗ ΜΙΑΣ ΧΡΗΣΕΩΣ (200ML),Bottles,24,F230 JUICE
F2300115,ΧΥΜΟΣ ΤΟΜΑΤΑΣ PAGO (200ML),Bottles,29,F230 JUICE
F2300114,ΧΥΜΟΣ ΦΡΑΟΥΛΑ PAGO (200ML),Bottles,36,F230 JUICE
F23100314,BOIRON RASPBERRY PUREE TETRA PACK (1L),Carton,1,F231 JUICE CONCENTRATE
F23100303,PUREE MANGO TETRA PACK BOIRON (1L),Carton,2,F231 JUICE CONCENTRATE
F23100305,PUREE PINEAPPLE TETRA PACK BOIRON (1L),Carton,2,F231 JUICE CONCENTRATE
F2310138,PUREE PONTHIER PASSION FRUIT (1KG),Kilogram,2,F231 JUICE CONCENTRATE
F2310139,PUREE PONTHIER PEACH WHITE (1KG),Kilogram,1.4,F231 JUICE CONCENTRATE
F2310137,PUREE PONTHIER PINEAPPLE (1KG),Kilogram,1,F231 JUICE CONCENTRATE
F24002247,FRANCE COS D'ESTOURNEL MEDOC G CABERNET SAUVIGNON ΕΡΥΘΡΟ 2019 (750ML),Bottles,2,F240 RED WINE
F2400410,FRANCE DROUHIN VONSE ROMANEE 2013 ΕΡΥΘΡΟ (750ML),Bottles,0.6,F240 RED WINE
F2401205,FRANCE LOUIS JADOT BOURGOGNE PINOT NOIR ΕΡΥΘΡΟ (750ML),Bottles,0.8,F240 RED WINE
F2400097,LA TOUR MELAS CYRUS ONE CABERNET FRANC - MERLOT ΕΡΥΘΡΟ (750ML),Bottles,0.6,F240 RED WINE
F2400515,ΑΛΦΑ PINOT NOIR ΕΡΥΘΡΟ (750ML),Bottles,4,F240 RED WINE
F2411050,FRANCE CHATEAU D' YQUEM SAUTERNES 1er CRU CLASSE 2007 ΛΕΥΚΟ (750ML),Bottles,0.9,F241 WHITE WINE
F2410571,FRANCE POUILLY FUME TRADITION DOMAINE S.DAGUENEAU & FILLS ΛΕΥΚΟ (750ML),Bottles,3,F241 WHITE WINE
F2410056,ΑΛΦΑ SAUVIGNON BLANC ΛΕΥΚΟ (750ML),Bottles,1,F241 WHITE WINE
F2410055,ΑΛΦΑ ΜΑΛΑΓΟΥΖΙΑ ΛΕΥΚΟ (750ML),Bottles,6,F241 WHITE WINE
F2410009,ΓΕΡΟΒΑΣΙΛΕΙΟΥ ΜΑΛΑΓΟΥΖΙΑ ΛΕΥΚΟ (750ML),Bottles,1.2,F241 WHITE WINE
F24102305,ΕΛΛΑΔΑ ΜΑΤΑΜΗ ΜΑΛΑΓΟΥΖΙΑ ΛΕΥΚΟ (750ML),Bottles,0.2,F241 WHITE WINE
F2410803,ΣΚΟΥΡΑ DUM VIMUM SPERUM CHARDONNAY ΛΕΥΚΟ (750ML),Bottles,0.6,F241 WHITE WINE
F2420122,FRANCE ESCLAN'S WHISPERING ANGEL COTES DE PROVENCE ΡΟΖΕ (750ML),Bottles,7.2,F242 ROSE WINE
F2420117,FRANCE OTT CHATEAU ROMASAN BANDOL ΡΟΖΕ (750ML),Bottles,7,F242 ROSE WINE
F2420073,ΑΛΦΑ ΞΙΝΟΜΑΥΡΟ ΡΟΖΕ (750ML),Bottles,1,F242 ROSE WINE
F2420286,ΓΕΡΟΒΑΣΙΛΕΙΟΥ ΞΙΝΟΜΑΥΡΟ ΡΟΖΕ (750ML),Bottles,1.8,F242 ROSE WINE
F24300493,ΕΛΛΑΔΑ SANTO WINES SPARKLING BRUT ΑΣΥΡΤΙΚΟ ΛΕΥΚΟ (750ML),Bottles,0.4,F243 SPARKLING WINE
F2430061,CHAMPAGNE BRUT ROSE TAITTINGER FRANCE (750ML),Bottles,2.2,F244 CHAMPAGNES
F2430060,CHAMPAGNE BRUT TAITTINGER FRANCE (750ML),Bottles,1.6,F244 CHAMPAGNES
F24101862,FRANCE CHARLES HEIDSIECK RESERVE BRUT CHAMPAGNE ΛΕΥΚΟ (750ML),Bottles,0.2,F244 CHAMPAGNES
F2500001,AMARETTO DISARONNO (700ML),Bottles,1.9,F250 LIQUER
F2500180,ANCHO REYES LIQUEUR (700ML),Bottles,0.2,F250 LIQUER
F2500003,BAILEYS (700ML),Bottles,0.4,F250 LIQUER
F2500010,BV LAND TRIPLE SEC (700ML),Bottles,0.3,F250 LIQUER
F2500067,CHARTREUSE YELLOW LIQUER (700ML),Bottles,0.4,F250 LIQUER
F2500033,DRAMBUIE (700ML),Bottles,0.6,F250 LIQUER
F2500013,FRANGELICO ΛΙΚΕΡ (700ML),Bottles,1,F250 LIQUER
F25000223,GIFFARD LIQUER MELON (700ML),Bottles,0.9,F250 LIQUER
F2500212,GIFFARD LIQUER PEACH (700ML),Bottles,0.3,F250 LIQUER
F2500146,GIFFARD LIQUER VANILLA GIFFARD (700ML),Bottles,1,F250 LIQUER
F2500037,HEERING 25% (700ML),Bottles,0.9,F250 LIQUER
F2500015,KAHLUA (700ML),Bottles,2,F250 LIQUER
F2500089,LIMONCELLO DELLA TRADIZIONE (700ML),Bottles,1,F250 LIQUER
F25000370,LIQUEUR BRANDY BOLS 43% (750ML),Bottles,1,F250 LIQUER
F25000373,LIQUEUR CRÈME CACAO WHITE BOLS 24% (700ML),Bottles,1,F250 LIQUER
F25000374,LIQUEUR CREME DE CASSIS BOLS 17% (700ML),Bottles,1,F250 LIQUER
F25000377,LIQUEUR ELDERFLOWER BOLS 17% (700ML),Bottles,2,F250 LIQUER
F25000384,LIQUEUR SOUR APPLE BOLS 17% (700ML),Bottles,1,F250 LIQUER
F25000387,LIQUEUR TRIPLE SEC BOLS 38% (700ML),Bottles,1,F250 LIQUER
F2500184,LUXARDO ABSINTHE (700ML),Bottles,1,F250 LIQUER
F2500093,MALIBU (1L),Bottles,1,F250 LIQUER
F2500024,PASSOA LIQUER 20% (700ML),Bottles,1,F250 LIQUER
F2510012,PIMMS 25% (700ML),Bottles,1,F250 LIQUER
F2500032,TIA MARIA (700ML),Bottles,1,F250 LIQUER
F2500114,TIO PEPE PALOMINO FINO SHERRY (700ML),Bottles,0.2,F250 LIQUER
F25000240,ΛΙΚΕΡ GIFFARD CREME DE CACAO WHITE (700ML),Bottles,0.7,F250 LIQUER
F2500026,ΛΙΚΕΡ SOURZ APPLE (700ML),Bottles,0.7,F250 LIQUER
F2510003,AMARETTO AVERNA (700ML),Bottles,1,F251 APERITIF
F2510173,AMARO MONTENEGRO (700ML),Bottles,0.8,F251 APERITIF
F25100540,"APERITIF FONSECA VINTAGE PORT 2000 20,5 (750ML)",Bottles,0.2,F251 APERITIF
F25100539,"APERITIF NIEPOORT 30YO TAWNY 20,5% (750ML)",Bottles,0.5,F251 APERITIF
F25100581,APERITIF SAMBUCA VACCARI 38% (700ML),Bottles,1,F251 APERITIF
F2500038,APEROL APERITIVO 11% (1L),Bottles,3.7,F251 APERITIF
F25100519,BODEGAS HIDAIGO MANZANILLA LA GITANA SHERRY (700ML),Bottles,1,F251 APERITIF
F2510004,CAMPARI (700ML),Bottles,2.9,F251 APERITIF
F2510064,CAPRANO ANTICA FORMULA VERMOUTH (1L),Bottles,1.6,F251 APERITIF
F2510290,DRY AMONTILLADO LOS ARCOS EMILIO LUSTAU (700ML),Bottles,1,F251 APERITIF
F2510006,FERNET BRANCA (700ML),Bottles,0.9,F251 APERITIF
F2510180,FERNET BRANCA MENTA (700ML),Bottles,1,F251 APERITIF
F2510258,FONSECA 10 Y.O. TAWNY (750ML),Bottles,0.5,F251 APERITIF
F2510259,FONSECA 20 Y.O. TAWNY (750ML),Bottles,1.2,F251 APERITIF
F2510186,GRAPPA LIGNEUM PROSECCO (700ML),Bottles,0.6,F251 APERITIF
F2510188,GRAPPA MIELEDITIGLIO INVECC. (700ML),Bottles,0.2,F251 APERITIF
F2510193,GRAPPA NONINO MOSCHATO (700ML),Bottles,0.9,F251 APERITIF
F2510359,JACOPO GRAPPA POLI BARILI DI SASSICAIA 40% (500ML),Bottles,0.6,F251 APERITIF
F2510303,JACOPO POLI AMOROSA DI SETTEMBRE VESPAIOLO (500ML),Bottles,0.2,F251 APERITIF
F2510008,JAGERMEISTER (700ML),Bottles,0.9,F251 APERITIF
F2510317,LILLET BLANC APERITIF (750ML),Bottles,1,F251 APERITIF
F2510009,MARTINI BIANCO (BLANCO) (1L),Bottles,0.4,F251 APERITIF
F2510010,MARTINI EXTRA DRY (EXTRA SECO) (1L),Bottles,1,F251 APERITIF
F2510011,MARTINI ROSSO (ROJO) (1L),Bottles,1,F251 APERITIF
F25100491,NOILLY PRAT VERMOUTH (750ML),Bottles,0.6,F251 APERITIF
F2510305,OTTOS ATHENS VERMOUTH (700ML),Bottles,1,F251 APERITIF
F2510037,PERNOD 40% (700ML),Bottles,0.6,F251 APERITIF
F2510206,RICARD (700ML),Bottles,1,F251 APERITIF
F25100542,SAKE ΙΑΠΩΝΙΚΟ DASSAI 23 JUNMAI DAIGINJO 16% (720ML),Bottles,1,F251 APERITIF
F2510273,SHERRY LUSTAU PEDRO XIMENEZ SAN EMILIO (750ML),Bottles,0.6,F251 APERITIF
F25100454,VERMOUTH CARLO ALBERTO-RISERVA BIANCO (700ML),Bottles,1,F251 APERITIF
F25100489,VERMOUTH COCCHI STORICO DI TORINO (700ML),Bottles,1,F251 APERITIF
F2510220,ΑΠΟΣΤΑΓΜΑ BERTA GUILIA CHARD. BARRIQUE 40% (700ML),Bottles,1,F251 APERITIF
F2510222,ΑΠΟΣΤΑΓΜΑ BERTA VALDAVI MOSCATO 40% (700ML),Bottles,0.6,F251 APERITIF
F2510226,ΟΥΖΟ 12 (700ML),Bottles,0.9,F251 APERITIF
F2510337,ΤΣΙΠΟΥΡΟ ΑΡΧΟΝΤΙΚΟ ΧΩΡΙΣ ΓΛΥΚΑΝΙΣΟ (700ML),Bottles,0.8,F251 APERITIF
F2510279,ΤΣΙΠΟΥΡΟ ΤΣΙΛΙΛΗ 5Y.O DARK CAVE (750ML),Bottles,0.6,F251 APERITIF
F26000233,ΜΠΥΡΑ 56 ISLES AEGEAN WIT (330ML),Bottles,24,F260 BEER
F26000249,ΜΠΥΡΑ ALE BEER GRAMMS (24*330ML),Bottles,48,F260 BEER
F26000236,ΜΠΥΡΑ AMMOUSA ENGLISH IPA (330ML),Bottles,24,F260 BEER
F26000218,ΜΠΥΡΑ DATHENES LAGER (330ML),Bottles,24,F260 BEER
F2600111,ΜΠΥΡΑ HEINEKEN 0% ΦΙΑΛΗ (330ML),Bottles,48,F260 BEER
F2600119,ΜΠΥΡΑ HEINEKEN ΒΑΡΕΛΙ PET BREWLOCK (20L),Barrel,7.5,F260 BEER
F2610006,ΜΠΥΡΑ HEINEKEN ΦΙΑΛΗ (24*330ML),Bottles,48,F260 BEER
F2610099,ΜΠΥΡΑ ISLES 56 PILS (330ML),Bottles,20,F260 BEER
F26000235,ΜΠΥΡΑ SALONIKIA WEISS (500ML),Bottles,12,F260 BEER
F2600054,ΜΠΥΡΑ SEPTEM FRIDAY'S PALE ALE ΦΙΑΛΗ (330ML),Bottles,20,F260 BEER
F26000234,ΜΠΥΡΑ SKNIPA LAGER (330ML),Bottles,47,F260 BEER
F2610015,ΜΠΥΡΑ SOL ΦΙΑΛΗ (24*330ML),Bottles,94,F260 BEER
F2610025,ΜΠΥΡΑ STELLA ARTOIS ΦΙΑΛΗ (330ML),Bottles,36,F260 BEER
F26000153,ΜΠΥΡΑ VALTINGER HOP ON! IPA LOCAL CRAFT BEER (330ML),Bottles,23,F260 BEER
F2600051,ΜΠΥΡΑ YELLOW DONKEY ΦΙΑΛΗ (24*330ML),Bottles,24,F260 BEER
F2600121,ΜΠΥΡΑ ΝΗΣΟΣ ALL DAY LAGER ΒΙΟΛΟΓΙΚΗ GLUTEN FREE (330ML),Bottles,47,F260 BEER
F2700001,ANGOSTURA AROMATIC BITTERS (200ML),Bottles,1.4,F271 MIXERS & SWEETENERS
F2700147,FEE BROTHERS AZTEC CHOCOLATE BITTERS (150ML),Bottles,1,F271 MIXERS & SWEETENERS
F2700153,FEE BROTHERS CARDAMOM BITTERS (150ML),Bottles,0.8,F271 MIXERS & SWEETENERS
F2700081,FEE BROTHERS CHERRY BITTERS (150ML),Bottles,0.2,F271 MIXERS & SWEETENERS
F27000228,FEE BROTHERS FOAM AGENT BITTER (150ML),Bottles,1,F271 MIXERS & SWEETENERS
F2700044,FEE BROTHERS GRAPEFRUIT BITTERS (50ML),Bottles,0.1,F271 MIXERS & SWEETENERS
F2700090,ΣΙΡΟΠΙ AGAVE MONIN (700ML),Bottles,0.4,F271 MIXERS & SWEETENERS
F27000547,ΣΙΡΟΠΙ CHOCOLATE ROUTIN (1L),Bottles,1,F271 MIXERS & SWEETENERS
F2700128,ΣΙΡΟΠΙ CUCUMBER GIFFARD (1L),Bottles,1,F271 MIXERS & SWEETENERS
F27000551,ΣΙΡΟΠΙ CUCUMBER ROUTIN (1L),Bottles,1,F271 MIXERS & SWEETENERS
F2700111,ΣΙΡΟΠΙ ELDERFLOWER GIFFARD (1L),Bottles,1,F271 MIXERS & SWEETENERS
F27000552,ΣΙΡΟΠΙ ELDERFLOWER ROUTIN (1L),Bottles,2,F271 MIXERS & SWEETENERS
F27000553,ΣΙΡΟΠΙ FALERNUM ROUTIN (1L),Bottles,1,F271 MIXERS & SWEETENERS
F27000491,ΣΙΡΟΠΙ GREEN APPLE MONIN (700ML),Bottles,1.2,F271 MIXERS & SWEETENERS
F27000554,ΣΙΡΟΠΙ GREEN APPLE ROUTIN (1L),Bottles,1,F271 MIXERS & SWEETENERS
F2700039,ΣΙΡΟΠΙ GREEN MINT MONIN (700ML),Bottles,0.4,F271 MIXERS & SWEETENERS
F2700178,ΣΙΡΟΠΙ LYCHEE MONIN (700ML),Bottles,0.5,F271 MIXERS & SWEETENERS
F27000557,ΣΙΡΟΠΙ LYCHEE ROUTIN (1L),Bottles,1,F271 MIXERS & SWEETENERS
F2700120,ΣΙΡΟΠΙ ORGEAT GIFFARD (1L),Bottles,0.1,F271 MIXERS & SWEETENERS
F27000559,ΣΙΡΟΠΙ ORGEAT ROUTIN (1L),Bottles,1,F271 MIXERS & SWEETENERS
F27000561,ΣΙΡΟΠΙ PEACH ROUTIN (1L),Bottles,1,F271 MIXERS & SWEETENERS
F27000336,ΣΙΡΟΠΙ ROUTIN POP CORN ILLY (1L),Bottles,2,F271 MIXERS & SWEETENERS
F27000277,ΣΙΡΟΠΙ ROUTIN ΒΑΝΙΛΙΑ ILLY (1L),Bottles,1,F271 MIXERS & SWEETENERS
F27000278,ΣΙΡΟΠΙ ROUTIN ΚΑΡΑΜΕΛΑ ILLY (1L),Bottles,1,F271 MIXERS & SWEETENERS
F2700015,ΣΙΡΟΠΙ SPICY MANGO MONIN (700ML),Bottles,0.8,F271 MIXERS & SWEETENERS
F27000566,ΣΙΡΟΠΙ SPICY MANGO ROUTIN (1L),Bottles,1,F271 MIXERS & SWEETENERS
F27000567,ΣΙΡΟΠΙ STRAWBERRY ROUTIN (1L),Bottles,4,F271 MIXERS & SWEETENERS
F27000258,ΣΙΡΟΠΙ VANILLA GIFFARD (1L),Bottles,1.1,F271 MIXERS & SWEETENERS
F2700069,ΣΙΡΟΠΙ WATERMELON MONIN (700ML),Bottles,0.2,F271 MIXERS & SWEETENERS
F27000568,ΣΙΡΟΠΙ WATERMELON ROUTIN (1L),Bottles,1,F271 MIXERS & SWEETENERS
F2800020,BULLEIT BOURBON (700ML),Bottles,2.3,F280 WHISKEY
F2800007,JAMESON 40% (700ML),Bottles,1,F280 WHISKEY
F2800014,JOHNNIE WALKER BLACK LABEL 40% (700ML),Bottles,1.5,F280 WHISKEY
F2800008,JOHNNIE WALKER RED LABEL 40% (700ML),Bottles,1.86,F280 WHISKEY
F2800012,SOUTHERN COMFORT 40% (700ML),Bottles,0.9,F280 WHISKEY
F2800021,WHISKEY BULLEIT RYE (700ML),Bottles,1,F280 WHISKEY
F2810027,BUSHMILLS 16 Y.O. 40% (700ML),Bottles,0.7,F281 WHISKEY SPECIAL
F2810033,CAOL ILA 12 Y.O. 43% (700ML),Bottles,0.6,F281 WHISKEY SPECIAL
F28100123,CARDHU 15Υ.O 40% (700ML),Bottles,1,F281 WHISKEY SPECIAL
F2810011,CARDHU 40% (700ML),Bottles,1.2,F281 WHISKEY SPECIAL
F2810035,CHIVAS 12Y 40% (700ML),Bottles,2,F281 WHISKEY SPECIAL
F2810093,CHIVAS 18 ΕΤΩΝ (700ML),Bottles,1,F281 WHISKEY SPECIAL
F2810036,CHIVAS ROYAL SALUTE (700ML),Bottles,2.1,F281 WHISKEY SPECIAL
F2810039,CLYNELISH 14 Y.O. (700ML),Bottles,1.4,F281 WHISKEY SPECIAL
F2810043,DALMORE 12 Y.O. (700ML),Bottles,1,F281 WHISKEY SPECIAL
F2810044,DALMORE CIGAR (700ML),Bottles,0.8,F281 WHISKEY SPECIAL
F2810045,DALWHINNIE 40% (700ML),Bottles,0.5,F281 WHISKEY SPECIAL
F2810047,DEWARS RESERVE 43% (700ML),Bottles,0.2,F281 WHISKEY SPECIAL
F2810009,GLENFIDDICH 12 Y.O. 40% (700ML),Bottles,0.6,F281 WHISKEY SPECIAL
F2810055,GLENFIDDICH 15Y 40% (700ML),Bottles,1,F281 WHISKEY SPECIAL
F2810056,GLENFIDDICH 18 Y.O. 40% (700ML),Bottles,1,F281 WHISKEY SPECIAL
F2810092,GLENGOYNE 10 Y.O. (700ML),Bottles,1.8,F281 WHISKEY SPECIAL
F2810059,GLENKINCHIE 43% (700ML),Bottles,1,F281 WHISKEY SPECIAL
F2810062,GLENLIVET 12 Y.O. (700ML),Bottles,0.2,F281 WHISKEY SPECIAL
F2810057,GLENLIVET 15 Y.O. (700ML),Bottles,0.5,F281 WHISKEY SPECIAL
F2810058,GLENLIVET 18 Y.O. (700ML),Bottles,0.6,F281 WHISKEY SPECIAL
F2810060,GLENMORANGIE 10 Y.O. (700ML),Bottles,0.6,F281 WHISKEY SPECIAL
F28100143,GLENMORANGIE SIGΝET (700ML),Bottles,0.5,F281 WHISKEY SPECIAL
F2810063,GRANGAMOORE 40% (700ML),Bottles,0.5,F281 WHISKEY SPECIAL
F2810064,HIBIKI 40% (700ML),Bottles,1.3,F281 WHISKEY SPECIAL
F2810067,JACK DANIELS SINGLE BARREL (700ML),Bottles,0.9,F281 WHISKEY SPECIAL
F2810068,JAMESON 12 Y.O (700ML),Bottles,0.8,F281 WHISKEY SPECIAL
F2810010,JOHNNIE WALKER BLUE LABEL 40% (700ML),Bottles,1.3,F281 WHISKEY SPECIAL
F28100127,LAGAVULIN 16 Y.O. (700ML),Bottles,0.8,F281 WHISKEY SPECIAL
F28100135,LAPHROAIG 10 Y.O. 40% (700ML),Bottles,0.7,F281 WHISKEY SPECIAL
F2810094,NIKKA FROM THE BARREL WHISKEY (500ML),Bottles,1.8,F281 WHISKEY SPECIAL
F2810081,OBAN 40% (700ML),Bottles,0.8,F281 WHISKEY SPECIAL
F2810082,TALISKER 40% (700ML),Bottles,1.4,F281 WHISKEY SPECIAL
F28100183,WHISKEY ARRAN AMARONE CASK 50% (700ML),Bottles,1,F281 WHISKEY SPECIAL
F2810089,WHISKEY BALLANTINES 12 (700ML),Bottles,0.8,F281 WHISKEY SPECIAL
F28100184,WHISKEY BUSHMILLS PORT CASK 40% (700ML),Bottles,0.3,F281 WHISKEY SPECIAL
F28100186,WHISKEY JAMESON 18YO 40% (700ML),Bottles,0.88,F281 WHISKEY SPECIAL
F28100181,WHISKEY MACALLAN DOUBLE CASK 15YO 43% (700ML),Bottles,1,F281 WHISKEY SPECIAL
F28100182,WHISKEY MACALLAN SHERRY OAK CASK 12YO 40% (700ML),Bottles,0.8,F281 WHISKEY SPECIAL
F28100185,WHISKEY TULLAMORE SINGLE MALT 14 Y.O. 41.3% (700ML),Bottles,1,F281 WHISKEY SPECIAL
F28100188,"WHISKEY WOODFORD RESERVE DOUBLE OAKED 43,2% (700ML)",Bottles,1.8,F281 WHISKEY SPECIAL
F2820001,BEEFEATER 40% (700ML),Bottles,2.8,F282 GIN
F2820011,BOMBAY GIN 40% (700ML),Bottles,1,F282 GIN
F2820016,BOTANIST GIN (700ML),Bottles,2,F282 GIN
F2820019,CITADELLE GIN (700ML),Bottles,1,F282 GIN
F2820081,CITADELLE GIN SOLERA RESERVE (700ML),Bottles,1,F282 GIN
F2820070,ELEPHANT GIN 45% (700ML),Bottles,0.9,F282 GIN
F28200161,GIN AUX AGRUMES LA MONACO (700ML),Bottles,1,F282 GIN
F2820022,GIN BLOOM PREMIUM (700ML),Bottles,1,F282 GIN
F2820080,GIN COPPERHEAD 40% (500ML),Bottles,1,F282 GIN
F2820039,GIN DRY (SECO) MONKEY 47 (500ML),Bottles,2.02,F282 GIN
F2820045,GIN EDINBURGH (700ML),Bottles,0.9,F282 GIN
F28200103,GIN EDINBURGH RHUBARB & GINGER (700ML),Bottles,0.88,F282 GIN
F2820046,GIN GRACE (700ML),Bottles,0.7,F282 GIN
F28200179,"GIN GRACE ICON 43,5% (700ML)",Bottles,1,F282 GIN
F2820047,GIN HAYMAN OLD TOM 40% (700ML),Bottles,1,F282 GIN
F28200011,GIN MALFY ORIGINALE 41% (700ML),Bottles,1,F282 GIN
F2820031,GIN MARE (700ML),Bottles,0.6,F282 GIN
F2820032,GIN MARTIN MILLER'S DRY 40% (700ML),Bottles,1,F282 GIN
F2820086,GIN MATAROA (700ML),Bottles,1,F282 GIN
F28200173,GIN MIRABEAU ROSE 43% (700ML),Bottles,1,F282 GIN
F2820056,GIN NIKKA COFFEY (700ML),Bottles,1.7,F282 GIN
F28200102,GIN PORTOFINO 43% (500ML),Bottles,0.7,F282 GIN
F2820041,GIN TANQUERAY ΤΕΝ 47% (700ML),Bottles,2.06,F282 GIN
F28200143,GIN VOTANIKON 40% (700ML),Bottles,1,F282 GIN
F2820064,GIN WILLIAMS EXTRA DRY (700ML),Bottles,0.6,F282 GIN
F2820010,HENDRICK'S GIN 41% (700ML),Bottles,1.88,F282 GIN
F28200125,ROKU GIN JAPANESE 43% (700ML),Bottles,1,F282 GIN
F2820005,TANQUERAY GIN 43% (700ML),Bottles,1,F282 GIN
F28300012,VODKA ABSOLUT 40% (1L),Bottles,4.9,F283 VODKA
F2830016,VODKA ABSOLUT CITRON 40% (700ML),Bottles,1,F283 VODKA
F2830100,VODKA ABSOLUT VANILIA 40% (1L),Bottles,0.9,F283 VODKA
F2830034,VODKA BELLUGA 40% (700ML),Bottles,1.5,F283 VODKA
F2830033,VODKA BELLUGA GOLD LINE (700ML),Bottles,0.9,F283 VODKA
F2830037,VODKA BELVEDERE 40% (700ML),Bottles,1,F283 VODKA
F28300142,VODKA BOLS VANILLA 38.5% (700ML),Bottles,1,F283 VODKA
F2830043,VODKA CIROC 40% (700ML),Bottles,1.4,F283 VODKA
F28300110,VODKA CRYSTAL HEAD ONYX (700ML),Bottles,1,F283 VODKA
F2830017,VODKA GREY GOOSE (700ML),Bottles,5.18,F283 VODKA
F2830055,VODKA GREY GOOSE VX (1L),Bottles,0.4,F283 VODKA
F28300108,VODKA HAKU SUNTORY 40% (1L),Bottles,1,F283 VODKA
F28300124,VODKA KASTRA ELION (700ML),Bottles,0.8,F283 VODKA
F2830078,VODKA SNOW LEOPARD (700ML),Bottles,1,F283 VODKA
F2830068,VODKA STOLICHNAYA ELITE (700ML),Bottles,0.2,F283 VODKA
F2830096,VODKA TITOS HANDMADE (700ML),Bottles,1,F283 VODKA
F2840067,RUM BOTRAN RESERVA 15 Y.O (700ML),Bottles,1,F284 RUM
F28400004,RUM BUMBU 40% (700ML),Bottles,2,F284 RUM
F2840003,RUM CAPTAIN MORGAN 40% (700ML),Bottles,1,F284 RUM
F2840065,RUM DICTADOR 20 Y.O (700ML),Bottles,1,F284 RUM
F2840087,RUM DIPLOMATICO PLANAS 47% (700ML),Bottles,0.3,F284 RUM
F2840050,RUM DIPLOMATICO RESERVA EXCLUSIVA 12Y (700ML),Bottles,1.5,F284 RUM
F28400107,RUM DON PAPA BAROKO 40% (700ML),Bottles,1,F284 RUM
F28400106,RUM FLOR DE CANA SENTENARIO 12 Y.O (700ML),Bottles,1,F284 RUM
F2840014,RUM HAVANA CLUB 3 Y.O. 40% (1L),Bottles,0.88,F284 RUM
F28400003,RUM HAVANA CLUB 3 Y.O. 40% (700ML),Bottles,1,F284 RUM
F2840034,RUM HAVANA CLUB 5 Y.O. ANEJO RESERVA 40% (700ML),Bottles,1.88,F284 RUM
F2840035,RUM HAVANA CLUB 7 Y.O. 40% (700ML),Bottles,0.6,F284 RUM
F2840038,RUM HAVANA SELECCION DE MAESTROS 40% (700ML),Bottles,1.5,F284 RUM
F2840051,RUM KRAKEN BLACK SPICED (700ML),Bottles,1,F284 RUM
F2840039,RUM PAMPERO ANIVERSARIO 40% (700ML),Bottles,1.4,F284 RUM
F2840085,RUM PLANTATION X.O 20 Y.O ANNIVERSARY (700ML),Bottles,1,F284 RUM
F2840042,RUM PYRAT X.O (700ML),Bottles,0.8,F284 RUM
F2840057,RUM ZACAPA 23 40% (700ML),Bottles,0.3,F284 RUM
F2840059,RUM ZACAPA X.O. 40% (700ML),Bottles,1,F284 RUM
F2850012,DON JULIO ANEJO 38% (700ML),Bottles,0.8,F285 TEQUILA
F2850013,DON JULIO BLANCO 38% (700ML),Bottles,0.4,F285 TEQUILA
F2850014,DON JULIO REPOS 38% (700ML),Bottles,1.5,F285 TEQUILA
F2850024,JOSE CUERVO RESERVA DE LA FAMILIA 38% (700ML),Bottles,0.7,F285 TEQUILA
F28500056,MEZCAL VERDE MOMENTO 42% (700ML),Bottles,0.8,F285 TEQUILA
F28500110,RUM FLOR DE CANA 18YO 40% (700ML),Bottles,0.7,F285 TEQUILA
F2850031,TEKILA PATRON ANEJO (700ML),Bottles,0.7,F285 TEQUILA
F28500079,TEQUILA CAZADORES BLANCO (700ML),Bottles,3.7,F285 TEQUILA
F28500080,TEQUILA CAZADORES REPOSADO (700ML),Bottles,2.5,F285 TEQUILA
F2850043,TEQUILA CLASE AZUL REPOSADO (700ML),Bottles,1,F285 TEQUILA
F28500111,TEQUILA KOMOS REPOSADO ROSA 40% (700ML),Bottles,1,F285 TEQUILA
F28500071,TEQUILA LOST EXPLORER MEZCAL ESPADIN (700ML),Bottles,1.8,F285 TEQUILA
F2850032,TEQUILA PATRON REPOSADO (700ML),Bottles,0.4,F285 TEQUILA
