Κωδικός,Περιγραφή,Μονάδα,Quantity,category
F11800070,TORTILLIA CHIPS ΜΕ ΤΥΡΙ VEGAN MISTER FREE'D (135G),Packet,12,F118 CHIPS & SNACKS
F11800149,TUILE ΦΥΛΛΟ GRANISH UPGRADE INFUSION (60 ΤΕΜ),Box,1,F118 CHIPS & SNACKS
F14000827,ΑΛΜΥΡΑ ΜΠΙΣΚΟΤΑ BUITEMAN PARMGIANIO CRUMBLES (75G),Packet,16,F118 CHIPS & SNACKS
F11800117,ΠΑΤΑΤΑΚΙΑ ΑΛΑΤΙ LAYS (350G),Packet,12,F118 CHIPS & SNACKS
F11300363,ΑΠΟΞΗΡΑΜΕΝΟΣ ΑΝΑΝΑΣ SEMPREVIVO (350G),Packet,6,F122 DRIED FRUITS
F1130043,ΑΠΟΞΗΡΑΜΕΝΟΣ ΑΝΑΝΑΣ ΡΟΔΕΛΑ DRYFO,Kilogram,2.5,F122 DRIED FRUITS
F13003211,ΑΜΑΡΕΝΑ ΣΕ ΣΙΡΟΠΙ ROYMEL (5KG),Kilogram,5,F130 CONFECTIONERY & BAKING INGREDIENTS
F1300905,ΒΡΩΣΙΜΑ ΛΟΥΛΟΥΔΙΑ ΑΝΘΗ CORNFLOWER BLUE OLYMPUS FIELDS (3.5G),Jar,1,F130 CONFECTIONERY & BAKING INGREDIENTS
F13004043,ΖΑΧΑΡΗ SUGARITA (1KG),Kilogram,10,F130 CONFECTIONERY & BAKING INGREDIENTS
F1300275,ΖΑΧΑΡΗ ΚΑΣΤΑΝΗ STICKS ΜΕ LOGO ROYAL SUGAR (1000*4G),Box,1,F130 CONFECTIONERY & BAKING INGREDIENTS
F13001697,ΖΑΧΑΡΗ ΚΑΣΤΑΝΗ ΖΑΚΟΜΑ FARMER (1KG),Kilogram,2,F130 CONFECTIONERY & BAKING INGREDIENTS
F1300099,ΣΙΡΟΠΙ ΠΑΓΩΤΟΥ ΚΑΡΑΜΕΛΑ HAITOGLOU (1.2L),Bottles,6,F130 CONFECTIONERY & BAKING INGREDIENTS
F1300098,ΣΙΡΟΠΙ ΠΑΓΩΤΟΥ ΣΟΚΟΛΑΤΑ HAITOGLOU (1.2L),Bottles,6,F130 CONFECTIONERY & BAKING INGREDIENTS
F1300100,ΣΙΡΟΠΙ ΠΑΓΩΤΟΥ ΦΡΑΟΥΛΑ HAITOGLOU (1.2L),Bottles,2,F130 CONFECTIONERY & BAKING INGREDIENTS
F11700861,ΣΟΥΚΡΟ ΕΜΟΥΛ TOUFOOD (500G),Container,0.5,F130 CONFECTIONERY & BAKING INGREDIENTS
F13001745,ΣΥΚΟ ΛΥΟΦΙΛΟΠΟΙΗΜΕΝΟ BRIX (500G),Packet,1,F130 CONFECTIONERY & BAKING INGREDIENTS
F1301189,ΧΡΩΜΑ ΖΑΧΑΡΟΠΛΑΣΤΙΚΗΣ ΣΚΟΝΗ ΧΡΥΣΟ MALLARD FERRIERE (30G),Piece,1,F130 CONFECTIONERY & BAKING INGREDIENTS
F1310300,HARIBO HAPPY COLA (100G),Packet,6,F131 READY TO EAT SWEETS
F1310746,ΜΑΛΛΙ ΤΗΣ ΓΡΙΑΣ CANDY FLOS ΡΟΖ CAMELOT (20G),Piece,87,F131 READY TO EAT SWEETS
F1310220,ΜΑΣΜΕΛΟΣ ΜΙΧ CAMELOT (1Χ8KG),Kilogram,3,F131 READY TO EAT SWEETS
F13101514,ΜΠΙΣΚΟΤΟ MINI OREO MONDELEZ (9*400G),Packet,9,F131 READY TO EAT SWEETS
F1310687,ΠΟΥΡΑΚΙΑ ΠΡΑΛΙΝΑ CAPRICE (400G),CAN,12,F131 READY TO EAT SWEETS
F14000987,ΠΑΞΙΜΑΔΙΑ ΚΥΘΗΡΩΝ ΤΣΑΤΣΑΚΗΣ (480G),Packet,12,F141 FRESH BAKED GOODS
F15000166,ΑΚΤΙΝΙΔΙΑ ΦΡΕΣΚΑ GOLD,Kilogram,1,F150 FRESH FRUIT
F1500004,ΑΝΑΝΑΣ ΦΡΕΣΚΟΣ - 80 ΕΩΣ 90% ΧΡΥΣΑΦΙ ΑΠΟΧΡΩΣΕΙΣ ( COLOR 4-5 ),Kilogram,0.5,F150 FRESH FRUIT
F1500083,ΑΝΑΝΑΣ ΦΡΕΣΚΟΣ EXTRA - 90 ΕΩΣ 100% ΧΡΥΣΑΦΙ ΑΠΟΧΡΩΣΕΙΣ ( COLOR 5-6 ),Kilogram,1,F150 FRESH FRUIT
F1500015,ΓΚΡΕΙΠΦΡΟΥΤ ΦΡΕΣΚΟ ΚΟΚΚΙΝΟ,Kilogram,13.95,F150 FRESH FRUIT
F1500018,ΚΑΡΠΟΥΖΙΑ ΦΡΕΣΚΑ,Kilogram,11.4,F150 FRESH FRUIT
F15000218,ΚΑΡΥΔΑ ΦΡΕΣΚΙΑ AIR (0.8-0.9KG),Piece,30,F150 FRESH FRUIT
F1500109,ΚΟΥΜ ΚΟΥΑΤ ΦΡΕΣΚΑ,Kilogram,2.5,F150 FRESH FRUIT
F1500023,ΛΕΜΟΝΙΑ ΦΡΕΣΚΑ ΔΙΑΜΕΤΡΟΣ 50-70MM (130-140G),Kilogram,6.1,F150 FRESH FRUIT
F1500027,ΜΗΛΑ ΦΡΕΣΚΑ SMITH (B) ΠΡΑΣΙΝΑ ΔΙΣΕΙΡΑ (70-80MM*170-190G),Kilogram,7.4,F150 FRESH FRUIT
F1500025,ΜΗΛΑ ΦΡΕΣΚΑ SMITH EXTRA ΠΡΑΣΙΝΑ ΜΟΝΟΣΕΙΡΑ (80-90MM*220-240G),Kilogram,3,F150 FRESH FRUIT
F15000209,ΜΠΑΝΑΝΕΣ ΦΡΕΣΚΕΣ KITΡΙΝΕΣ ΜΕ ΠΡΑΣΙΝΕΣ ΑΚΡΕΣ NO NAME (COLOR 3),Kilogram,5,F150 FRESH FRUIT
F1500035,ΜΠΑΝΑΝΕΣ ΦΡΕΣΚΕΣ ΚΙΤΡΙΝΕΣ ΜΕ ΠΡΑΣΙΝΕΣ ΑΚΡΕΣ CHIQUITA (COLOR 3),Kilogram,2.3,F150 FRESH FRUIT
F1500043,ΠΟΡΤΟΚΑΛΙΑ ΧΥΜΟΥ ΦΡΕΣΚΑ ΜΗΧΑΝΗΣ ΔΙΑΜΕΤΡΟΣ 50-70MM (120-140G),Kilogram,47,F150 FRESH FRUIT
F1500044,ΡΟΔΑΚΙΝΑ ΦΡΕΣΚΑ,Kilogram,0.8,F150 FRESH FRUIT
F1500157,ΡΟΔΑΚΙΝΑ ΦΡΕΣΚΑ EXTRA,Kilogram,2,F150 FRESH FRUIT
F1510007,ΑΓΓΟΥΡΙΑ ΦΡΕΣΚΑ (Α) ΙΣΙΑ 280-350MM (280-360G),Piece,13,F151 FRESH VEGETABLES
F1510017,ΔΥΟΣΜΟΣ ΦΡΕΣΚΟΣ (100G),Packet,3,F151 FRESH VEGETABLES
F15100498,ΚΑΡΟΤΑ ΦΡΕΣΚΑ (Β) ΜΕΓΑΛΑ-ΧΟΝΤΡΑ,Kilogram,3.6,F151 FRESH VEGETABLES
F1510135,ΛΑΪΜ ΦΡΕΣΚΟ (ΔΙΑΜΕΤΡΟΣ 50-60MM*100-130G),Kilogram,21.8,F151 FRESH VEGETABLES
F1510074,ΣΕΛΕΡΙ ΦΡΕΣΚΟ,Kilogram,3.5,F151 FRESH VEGETABLES
F1510082,ΤΖΙΝΤΖΕΡ ΦΡΕΣΚΟ,Kilogram,2,F151 FRESH VEGETABLES
F16000130,ΒΑΤΟΜΟΥΡΟ ΚΟΚΚΙΝΟ ΚΤΨ ARDO,Kilogram,1.5,F160 FROZEN FRUIT
F16000149,ΜΥΡΤΙΛΑ BLUEBERRIES ΚΤΨ ARDO,Kilogram,10,F160 FROZEN FRUIT
F16000066,ΠΟΥΛΠΑ-ΠΟΥΡΕΣ ΚΤΨ ΛΕΥΚΟ ΡΟΔΑΚΙΝΟ 90% ANDROS (1KG),Container,2,F160 FROZEN FRUIT
F16000060,ΠΟΥΛΠΑ-ΠΟΥΡΕΣ ΚΤΨ ΜΑΝΓΚΟ 90% ANDROS (1KG),Container,3,F160 FROZEN FRUIT
F16000058,ΠΟΥΛΠΑ-ΠΟΥΡΕΣ ΚΤΨ ΦΡΑΟΥΛΑ 90% ANDROS (1KG),Container,3,F160 FROZEN FRUIT
F16000061,ΠΟΥΛΠΑ-ΠΟΥΡΕΣ ΚΤΨ ΦΡΟΥΤΑ ΤΟΥ ΠΑΘΟΥΣ 90% ANDROS (1KG),Container,3,F160 FROZEN FRUIT
F16000121,ΦΡΑΟΥΛΕΣ ΚΤΨ MUBARAK,Kilogram,8.8,F160 FROZEN FRUIT
F1640299,ΠΑΓΩΤΟ BELGIAN CHOCOLATE KAYAK (3KG),Kilogram,6,F164 ICE CREAM
F1640493,ΠΑΓΩΤΟ SALTY CARAMEL KAYAK (3KG),Container,1,F164 ICE CREAM
F1640519,ΠΑΓΩΤΟ SORBET MANGO KAYAK (107ML),Container,20,F164 ICE CREAM
F1640239,ΠΑΓΩΤΟ SORBET ΚΑΡΠΟΥΖΙ KAYAK (3KG),Kilogram,6,F164 ICE CREAM
F16400587,ΠΑΓΩΤΟ SORBET ΛΕΜΟΝΙ KAYAK (3KG),Kilogram,6.5,F164 ICE CREAM
F1640495,ΠΑΓΩΤΟ SORBET ΜΑΝΓΚΟ ΧΩΡΙΣ ΓΛΟΥΤΕΝΗ & ΛΑΚΤΟΖΗ KAYAK (3KG),Kilogram,3,F164 ICE CREAM
F1640035,ΠΑΓΩΤΟ SORBET ΦΡΑΟΥΛΑ KAYAK (107ML),CUP,20,F164 ICE CREAM
F1640319,ΠΑΓΩΤΟ SORBET ΦΡΑΟΥΛΑ KAYAK (3KG),Kilogram,3.6,F164 ICE CREAM
F1640203,ΠΑΓΩΤΟ ΒΑΝΙΛΙΑ CHOCOCREAM COOKIES KAYAK (3KG),Kilogram,9,F164 ICE CREAM
F1640307,ΠΑΓΩΤΟ ΒΑΝΙΛΙΑ KAYAK (3KG),Kilogram,3.96,F164 ICE CREAM
F1640318,ΠΑΓΩΤΟ ΓΡΑΝΙΤΑ ΡΟΔΑΚΙΝΟ KAYAK (3KG),Kilogram,3,F164 ICE CREAM
